;Cuerda 3;Cuerda 4
1;4;8
2;4;7
3;3;47
4;5;20
5;4;6
6;10;32
7;7;26
8;6;15
9;12;35
10;16;31
11;13;38
12;14;17
13;9;13
14;15;24
15;14;40
16;8;20
17;20;19
18;19;11
19;25;19
20;27;7
21;30;18
22;29;36
23;21;12
24;23;8
25;41;7
26;25;25
27;24;23
28;7;18
29;32;55
30;30;32
31;26;35
32;29;25
33;46;40
34;34;16
35;36;13
36;18;16
37;26;35
38;37;13
39;22;52
40;32;9
41;29;12
42;44;14
43;36;53
44;35;30
45;45;49
46;43;48
47;33;47
48;10;11
49;13;15
50;9;14
51;11;12
52;8;7
53;26;10
54;30;39
55;10;22
56;16;23
57;10;43
58;14;54
59;23;21
60;12;34
61;15;26
62;20;28
63;38;28
64;40;21
65;13;35
66;14;21
67;16;58
68;19;29
69;24;55
70;27;22
71;15;16
72;18;17
73;30;13
74;17;19
75;33;29
76;40;19
77;18;28
